lccn/sn90052434/1854-01-14,2,9,1,8
lccn/sn90052434/1854-01-21,2,7,3,4
lccn/sn90052434/1854-02-04,2,9,7,2
lccn/sn85033295/1880-08-11,1,4,4,0
lccn/sn85040724/1906-11-09,2,8,3,5
lccn/sn83025316/1918-04-15,2,8,3,5
lccn/sn83025316/1918-01-06,2,10,2,8
lccn/sn84036256/1921-06-03,1,5,8,-3
lccn/sn84036256/1919-07-04,1,7,10,-3
lccn/sn86071593/1920-07-15,1,3,10,-7
lccn/sn86071593/1922-09-12,2,10,2,8
lccn/sn83025668/1908-06-04,1,10,12,-2
lccn/sn86082061/1909-09-09,1,4,17,-13
lccn/sn86082061/1904-08-11,1,2,8,-6
lccn/sn86082061/1904-12-08,1,7,7,0
lccn/sn86082061/1900-09-13,2,2,0,2
lccn/sn86082061/1900-09-13,2,12,5,7
lccn/sn83025668/1922-12-07,2,4,2,2
lccn/sn86082061/1897-04-15,1,10,12,-2
lccn/sn93063557/1914-08-14,1,0,0,0
lccn/sn93063557/1915-04-16,2,13,1,12
lccn/sn93063557/1915-06-18,1,5,11,-6
lccn/sn93063557/1907-11-22,1,0,0,0
lccn/sn93063557/1907-12-20,2,3,0,3
lccn/sn93063557/1905-03-31,2,8,1,7
lccn/sn83025668/1918-08-29,2,9,5,4
lccn/sn93063557/1903-10-02,1,10,10,0
lccn/sn86071593/1921-02-08,1,3,6,-3
lccn/sn86071593/1921-03-15,1,3,3,0
lccn/sn86071593/1920-10-14,2,10,9,1
lccn/sn86071593/1921-04-30,1,3,11,-8
lccn/sn86071593/1921-04-30,1,8,11,-3
lccn/sn86071593/1921-05-10,2,12,2,10
lccn/sn86071593/1921-05-13,2,5,3,2
lccn/sn86071593/1921-10-08,2,20,10,10
lccn/sn86071593/1921-10-15,2,14,4,10
lccn/sn86071593/1921-06-16,2,12,9,3
lccn/sn90000523/1896-03-27,1,5,8,-3
lccn/sn86082061/1900-07-19,1,1,10,-9
lccn/sn93063557/1913-01-31,2,16,8,8
lccn/sn93063557/1913-05-23,1,2,3,-1
lccn/sn93063557/1909-11-19,2,14,6,8
lccn/sn93063557/1909-12-31,2,13,1,12
lccn/sn93063557/1908-10-30,1,0,0,0
lccn/sn93063557/1911-11-24,2,4,2,2
lccn/sn93063557/1911-12-22,2,5,2,3
lccn/sn86082061/1910-06-30,1,2,2,0
lccn/sn86082061/1910-07-28,2,5,4,1
lccn/sn96088356/1915-12-31,2,8,4,4
lccn/sn89060136/1924-01-18,2,3,2,1
lccn/sn89060136/1924-11-21,2,3,2,1
lccn/sn89060136/1921-08-05,1,3,11,-8
lccn/sn89060136/1922-06-02,2,6,4,2
lccn/sn89060136/1922-04-21,2,6,4,2
lccn/sn89060136/1918-11-29,1,6,6,0
lccn/sn89060136/1918-11-22,2,11,4,7
lccn/sn89060136/1923-03-09,2,9,4,5
lccn/sn89060136/1923-04-20,2,10,9,1
lccn/sn89060136/1923-06-15,1,3,12,-9
lccn/sn89060136/1921-04-22,1,2,4,-2
lccn/sn85042400/1909-02-10,2,9,5,4
lccn/sn96088356/1917-09-28,2,15,12,3
lccn/sn89060136/1939-03-10,2,2,1,1
lccn/sn89060136/1939-05-19,2,8,3,5
lccn/sn89060136/1939-09-22,2,2,0,2
lccn/sn89060136/1940-11-01,1,1,1,0
lccn/sn89060136/1937-06-11,1,6,10,-4
lccn/sn89060136/1938-02-18,2,9,4,5
lccn/sn89060136/1938-06-17,1,8,8,0
lccn/sn89060136/1944-09-22,2,16,15,1
lccn/sn89060136/1945-06-01,1,7,11,-4
lccn/sn89060136/1945-09-14,2,20,8,12
lccn/sn89060136/1945-10-19,2,4,0,4
lccn/sn89060136/1935-09-27,1,0,0,0
lccn/sn89060136/1936-03-20,2,2,0,2
lccn/sn89060136/1942-07-31,1,5,17,-12
lccn/sn89060136/1944-03-17,2,11,3,8
lccn/sn89060136/1946-01-11,2,18,5,13
lccn/sn89060136/1946-09-13,1,2,9,-7
lccn/sn89060136/1946-09-20,1,3,4,-1
lccn/sn89060136/1946-09-20,2,16,9,7
lccn/sn89060136/1937-01-22,1,2,5,-3
lccn/sn89060136/1926-05-28,2,2,0,2
lccn/sn89060136/1926-06-18,1,4,5,-1
lccn/sn89060136/1927-07-01,1,6,10,-4
lccn/sn89060136/1925-02-06,2,14,7,7
lccn/sn89060136/1934-06-08,2,17,5,12
lccn/sn89060136/1926-04-16,1,2,8,-6
lccn/sn89060136/1929-07-19,2,16,9,7
lccn/sn89060136/1929-09-13,2,10,4,6
lccn/sn89060136/1927-11-04,1,3,5,-2
lccn/sn89060136/1932-05-13,1,6,13,-7
lccn/sn89060136/1922-08-11,2,7,4,3
lccn/sn84028140/1902-09-15,2,15,5,10
lccn/sn84028140/1902-02-13,2,11,2,9
lccn/sn84028140/1901-10-18,2,7,2,5
lccn/sn88064237/1892-12-03,2,13,1,12
lccn/sn86079080/1914-05-30,2,5,3,2
lccn/sn86079080/1877-08-18,2,3,1,2
lccn/sn88064402/1907-12-13,2,13,6,7
lccn/sn88064402/1910-08-19,1,0,0,0
lccn/sn88064402/1902-06-13,2,5,2,3
lccn/sn88064402/1921-09-03,1,5,8,-3
lccn/sn86063623/1902-12-27,2,5,2,3
lccn/sn86063623/1906-11-03,2,12,3,9
lccn/sn86063623/1907-05-18,2,11,10,1
lccn/sn89066901/1916-05-18,2,11,4,7
lccn/sn89066901/1914-04-23,2,17,14,3
lccn/sn89066901/1914-05-28,2,7,1,6
lccn/sn89066901/1914-06-04,1,7,10,-3
